ID,Foci_Count,Foci_Group_Count,Foci_Area,Levels,Area,Zone
185,24,15,114,1,114,2
186,20,16,65,3,65,2
187,37,28,222,1,222,2
188,12,8,83,3,83,2
189,20,14,107,2,107,2
190,23,18,118,2,118,2
191,20,16,97,2,97,2
192,22,18,96,3,96,2
193,22,17,103,2,103,2
194,475,11,85,4,85,2
195,10,8,51,3,51,2
196,15,11,62,2,62,2
197,21,17,104,2,104,2
198,15,13,88,3,88,2
199,13,12,78,3,78,2
200,18,15,91,2,91,2
201,41,28,289,1,289,2
202,15,12,103,2,103,2
203,28,19,133,2,133,2
204,11,9,63,2,63,2
205,11,8,58,2,58,2
206,19,13,100,2,100,2
207,14,10,78,3,78,2
208,21,17,85,2,85,2
209,19,14,98,2,98,2
210,11,10,114,2,114,2
211,15,11,70,3,70,2
212,24,21,131,2,131,2
213,11,7,70,2,70,2
214,15,10,81,2,81,2
215,20,12,100,2,100,2
216,22,18,124,2,124,1
217,10,5,80,1,80,1
218,6,4,71,1,71,3
219,17,12,116,2,116,3
220,282,15,90,3,90,3
221,16,10,77,3,77,3
222,10,6,75,2,75,3
223,15,11,88,3,88,3
224,10,8,112,2,112,3
225,15,12,69,4,69,3
226,20,15,102,2,102,3
227,16,11,69,2,69,3
228,18,13,68,3,68,3
229,7,5,59,3,59,3
230,23,20,122,2,122,3
231,13,10,76,3,76,3
232,21,18,122,2,122,3
233,14,11,78,1,78,2
234,202,11,74,6,74,3
235,25,17,139,1,139,2
236,18,14,111,2,111,2
237,19,18,84,2,84,2
238,17,12,95,2,95,2
239,20,14,113,2,113,3
240,31,25,161,1,161,2
241,18,14,80,1,80,2
242,16,12,72,1,72,2
243,12,8,125,2,125,2
244,11,7,81,2,81,2
245,13,11,73,2,73,2
246,21,16,111,2,111,2
247,16,12,74,2,74,2
248,20,17,106,2,106,2
249,6,3,67,2,67,2
250,19,15,99,2,99,2
251,11,8,84,2,84,2
252,13,9,80,2,80,2
253,27,18,94,2,94,2
254,16,11,83,2,83,2
255,24,19,114,1,114,2
256,19,14,74,2,74,2
257,121,7,52,3,52,2
258,32,24,158,1,158,2
259,21,15,109,2,109,2
260,11,9,72,1,72,2
261,29,25,239,2,239,2
262,11,9,69,1,69,2
263,17,13,81,2,81,2
264,8,7,72,2,72,2
265,14,12,83,2,83,2
266,12,7,74,1,74,2
267,17,12,100,2,100,2
268,14,10,78,1,78,2
269,13,13,73,2,73,2
270,13,9,130,1,130,2
271,22,16,109,2,109,2
272,18,15,75,2,75,2
273,18,14,71,2,71,2
274,18,16,119,2,119,2
275,26,18,82,2,82,2
276,27,20,142,2,142,2
